nohup: ignoring input
Experiment 4: adapt to gravity×1 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 5/6, device=cuda
[  79000 / 100000]  ep  79  reward(norm): -269.390  reward(raw): -269.4  len: 1000  time: 4.32s
[  80000 / 100000]  ep  80  reward(norm): -330.013  reward(raw): -330.0  len: 1000  time: 4.90s
[  81000 / 100000]  ep  81  reward(norm): -472.296  reward(raw): -472.3  len: 1000  time: 5.00s
[  82000 / 100000]  ep  82  reward(norm): 62.781  reward(raw): 62.8  len: 1000  time: 3.71s
[  83000 / 100000]  ep  83  reward(norm): 26.339  reward(raw): 26.3  len: 1000  time: 4.61s
[  84000 / 100000]  ep  84  reward(norm): -235.140  reward(raw): -235.1  len: 1000  time: 5.08s
[  85000 / 100000]  ep  85  reward(norm): 32.422  reward(raw): 32.4  len: 1000  time: 4.00s
[  86000 / 100000]  ep  86  reward(norm): -111.853  reward(raw): -111.9  len: 1000  time: 4.93s
[  87000 / 100000]  ep  87  reward(norm): 51.835  reward(raw): 51.8  len: 1000  time: 4.89s
[  88000 / 100000]  ep  88  reward(norm): 99.158  reward(raw): 99.2  len: 1000  time: 4.21s
[  89000 / 100000]  ep  89  reward(norm): 124.844  reward(raw): 124.8  len: 1000  time: 4.87s
[  90000 / 100000]  ep  90  reward(norm): 113.083  reward(raw): 113.1  len: 1000  time: 3.89s
[  91000 / 100000]  ep  91  reward(norm): 55.489  reward(raw): 55.5  len: 1000  time: 4.46s
[  92000 / 100000]  ep  92  reward(norm): 43.240  reward(raw): 43.2  len: 1000  time: 4.85s
[  93000 / 100000]  ep  93  reward(norm): 50.936  reward(raw): 50.9  len: 1000  time: 4.94s
[  94000 / 100000]  ep  94  reward(norm): 7.734  reward(raw): 7.7  len: 1000  time: 5.34s
[  95000 / 100000]  ep  95  reward(norm): 65.680  reward(raw): 65.7  len: 1000  time: 5.15s
[  96000 / 100000]  ep  96  reward(norm): 67.834  reward(raw): 67.8  len: 1000  time: 5.02s
[  97000 / 100000]  ep  97  reward(norm): -54.045  reward(raw): -54.0  len: 1000  time: 4.76s
[  98000 / 100000]  ep  98  reward(norm): 76.509  reward(raw): 76.5  len: 1000  time: 4.46s
[  99000 / 100000]  ep  99  reward(norm): -28.418  reward(raw): -28.4  len: 1000  time: 4.00s
[ 100000 / 100000]  ep 100  reward(norm): -29.518  reward(raw): -29.5  len: 1000  time: 4.86s
[18/25] gaussian_HalfCheetah-v5_seed3_gravityx1_wmunfrozen
[   1000 / 100000]  ep   1  reward(norm): -248.102  reward(raw): -248.1  len: 1000  time: 0.17s
[   2000 / 100000]  ep   2  reward(norm): -311.861  reward(raw): -311.9  len: 1000  time: 0.19s
[   3000 / 100000]  ep   3  reward(norm): -197.941  reward(raw): -197.9  len: 1000  time: 0.15s
[   4000 / 100000]  ep   4  reward(norm): -433.273  reward(raw): -433.3  len: 1000  time: 0.15s
[   5000 / 100000]  ep   5  reward(norm): -182.081  reward(raw): -182.1  len: 1000  time: 0.15s
[   6000 / 100000]  ep   6  reward(norm): 702.628  reward(raw): 702.6  len: 1000  time: 6.98s
[   7000 / 100000]  ep   7  reward(norm): 876.346  reward(raw): 876.3  len: 1000  time: 5.65s
[   8000 / 100000]  ep   8  reward(norm): 1081.158  reward(raw): 1081.2  len: 1000  time: 5.75s
[   9000 / 100000]  ep   9  reward(norm): 942.009  reward(raw): 942.0  len: 1000  time: 6.81s
[  10000 / 100000]  ep  10  reward(norm): 1041.791  reward(raw): 1041.8  len: 1000  time: 6.59s
[  11000 / 100000]  ep  11  reward(norm): 817.508  reward(raw): 817.5  len: 1000  time: 5.78s
[  12000 / 100000]  ep  12  reward(norm): 958.820  reward(raw): 958.8  len: 1000  time: 6.09s
[  13000 / 100000]  ep  13  reward(norm): 865.412  reward(raw): 865.4  len: 1000  time: 6.54s
[  14000 / 100000]  ep  14  reward(norm): 851.495  reward(raw): 851.5  len: 1000  time: 7.20s
[  15000 / 100000]  ep  15  reward(norm): 715.458  reward(raw): 715.5  len: 1000  time: 6.98s
[  16000 / 100000]  ep  16  reward(norm): 981.286  reward(raw): 981.3  len: 1000  time: 5.93s
[  17000 / 100000]  ep  17  reward(norm): 931.985  reward(raw): 932.0  len: 1000  time: 5.02s
[  18000 / 100000]  ep  18  reward(norm): 891.509  reward(raw): 891.5  len: 1000  time: 6.37s
[  19000 / 100000]  ep  19  reward(norm): 977.941  reward(raw): 977.9  len: 1000  time: 5.80s
[  20000 / 100000]  ep  20  reward(norm): 1104.692  reward(raw): 1104.7  len: 1000  time: 6.28s
[  21000 / 100000]  ep  21  reward(norm): 1056.327  reward(raw): 1056.3  len: 1000  time: 5.14s
[  22000 / 100000]  ep  22  reward(norm): 915.036  reward(raw): 915.0  len: 1000  time: 5.20s
[  23000 / 100000]  ep  23  reward(norm): 1046.248  reward(raw): 1046.2  len: 1000  time: 6.88s
[  24000 / 100000]  ep  24  reward(norm): 985.333  reward(raw): 985.3  len: 1000  time: 6.76s
[  25000 / 100000]  ep  25  reward(norm): 973.604  reward(raw): 973.6  len: 1000  time: 6.02s
[  26000 / 100000]  ep  26  reward(norm): 965.284  reward(raw): 965.3  len: 1000  time: 4.36s
[  27000 / 100000]  ep  27  reward(norm): 1086.592  reward(raw): 1086.6  len: 1000  time: 5.39s
[  28000 / 100000]  ep  28  reward(norm): 957.832  reward(raw): 957.8  len: 1000  time: 6.13s
[  29000 / 100000]  ep  29  reward(norm): 966.306  reward(raw): 966.3  len: 1000  time: 5.11s
[  30000 / 100000]  ep  30  reward(norm): 954.767  reward(raw): 954.8  len: 1000  time: 6.73s
[  31000 / 100000]  ep  31  reward(norm): 1044.415  reward(raw): 1044.4  len: 1000  time: 6.36s
